Date,Type,Category,Amount
2023-12-09,Expense,Entertainment,912
2023-12-05,Expense,Groceries,556
2023-12-15,Expense,Transport,402
2023-12-03,Expense,Entertainment,1404
2024-01-01,Income,Salary,4872
2024-01-27,Expense,Groceries,1310
2024-01-24,Expense,Transport,223
2024-01-02,Expense,Transport,50
2024-01-13,Expense,Utilities,1390
2024-02-01,Income,Bonus,3010
2024-02-15,Expense,Rent,800
2024-02-08,Expense,Utilities,583
2024-02-03,Expense,Groceries,1378
2024-02-21,Expense,Dining,652
2024-02-23,Expense,Groceries,1347
2024-03-01,Income,Bonus,5123
2024-03-11,Expense,Rent,397
2024-03-06,Expense,Entertainment,905
2024-03-27,Expense,Dining,1173
2024-04-01,Income,Salary,4994
2024-04-23,Expense,Utilities,1470
2024-04-06,Expense,Rent,1323
2024-04-10,Expense,Transport,858
2024-05-01,Income,Bonus,5176
2024-05-13,Expense,Transport,1296
2024-05-17,Expense,Utilities,382
2024-05-10,Expense,Groceries,1065
2024-05-20,Expense,Entertainment,1466
2024-06-01,Income,Freelance,4223
2024-06-06,Expense,Transport,995
2024-06-05,Expense,Groceries,579
2024-06-03,Expense,Utilities,594
2024-06-09,Expense,Dining,1214
2024-06-27,Expense,Dining,631
2024-06-21,Expense,Dining,175
2024-06-13,Expense,Groceries,112
2024-07-01,Income,Freelance,4482
2024-07-07,Expense,Rent,936
2024-07-08,Expense,Utilities,283
2024-07-05,Expense,Rent,1083
2024-07-25,Expense,Transport,504
2024-07-03,Expense,Rent,346
2024-07-07,Expense,Rent,256
2024-08-01,Income,Freelance,4630
2024-08-06,Expense,Groceries,492
2024-08-17,Expense,Utilities,1418
2024-08-20,Expense,Transport,276
2024-09-01,Income,Freelance,3599
2024-09-04,Expense,Rent,1273
2024-09-12,Expense,Rent,900
2024-09-10,Expense,Groceries,376
2024-09-28,Expense,Utilities,345
2024-09-10,Expense,Rent,670
2024-09-02,Expense,Groceries,1276
2024-10-01,Income,Salary,3671
2024-10-24,Expense,Transport,330
2024-10-11,Expense,Rent,1072
2024-10-08,Expense,Groceries,685
2024-11-01,Income,Salary,3113
2024-11-14,Expense,Dining,1185
2024-11-27,Expense,Rent,543
2024-11-13,Expense,Groceries,788
2024-11-05,Expense,Rent,178
2024-11-07,Expense,Dining,761
2024-11-26,Expense,Transport,1448
2024-11-07,Expense,Utilities,687
2024-12-01,Income,Bonus,3165
2024-12-10,Expense,Transport,1091
2024-12-13,Expense,Transport,397
2024-12-03,Expense,Groceries,260
2025-01-01,Income,Freelance,4587
2025-01-15,Expense,Entertainment,1027
2025-01-09,Expense,Dining,670
2025-01-21,Expense,Dining,1495
2025-01-27,Expense,Entertainment,675
2025-01-13,Expense,Transport,1035
2025-02-01,Income,Salary,3362
2025-02-12,Expense,Utilities,64
2025-02-11,Expense,Dining,1160
2025-02-16,Expense,Utilities,1190
2025-02-10,Expense,Utilities,682
2025-02-22,Expense,Groceries,898
2025-02-18,Expense,Entertainment,1037
2025-03-01,Income,Bonus,5992
2025-03-09,Expense,Transport,900
2025-03-12,Expense,Groceries,684
2025-03-22,Expense,Transport,578
2025-03-09,Expense,Transport,898
2025-03-06,Expense,Dining,1316
2025-03-22,Expense,Transport,817
2025-04-01,Income,Bonus,5590
2025-04-12,Expense,Rent,1397
2025-04-08,Expense,Rent,590
2025-04-07,Expense,Utilities,1024
2025-04-11,Expense,Groceries,216
2025-04-04,Expense,Rent,428
2025-05-01,Income,Salary,4650
2025-05-19,Expense,Dining,609
2025-05-04,Expense,Transport,361
2025-05-13,Expense,Transport,243
2025-06-01,Income,Salary,4366
2025-06-14,Expense,Dining,1018
2025-06-02,Expense,Dining,222
2025-06-15,Expense,Transport,1120
2025-06-04,Expense,Rent,544
2025-06-22,Expense,Groceries,52
2025-06-05,Expense,Transport,826
2025-06-11,Expense,Entertainment,237
2025-07-01,Income,Salary,3300
2025-07-23,Expense,Groceries,976
2025-07-04,Expense,Entertainment,1438
2025-07-06,Expense,Dining,1076
2025-07-05,Expense,Rent,1255
2025-07-05,Expense,Transport,439
2025-07-04,Expense,Utilities,1495
